scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
1-53-13,tomato_soup_can,56,zinf|x2,711,1.803772934928502,0.24955185,1.803772934928502,0.24955184757709503,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-53-13_color_kinect.png
2-52-0,rubiks_cube,52,z4|x4|y4,184,3.899175052334958,0.5784896,1.800874231123237,0.12641589050542862,2.098300821211721,0.45207371110666245,0.1354625550660793,0.17266165193056657,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-52-0_color_kinect.png
2-93-4,nine_hole_peg_test,43,no,346,2.1961846862901755,0.25957182,1.8002442118701132,0.2101942798251785,0.3959404744200623,0.049377540672334325,0.4350758853288364,0.15096035438425487,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-93-4_color_kinect.png
2-37-7,sugar_box,55,z2|x2,296,1.6403273749562726,0.22244674,1.7998122018808622,0.23281397095469852,-0.15948482692458965,-0.010367231281084022,0.3596330275229358,0.1671472899327216,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-37-7_color_kinect.png
2-6-3,gelatin_box,30,z2|x2,464,0.850173933285606,0.12695782,1.795566033900057,0.11273422298760517,-0.945392100614451,0.014223595878170889,0.33370044052863435,0.17564642299639843,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-3_color_kinect.png
2-38-17,gelatin_box,30,z2|x2,451,2.1827330331599244,0.23408529,1.7927287557663247,0.1164660152553777,0.39000427739359966,0.11761927636869152,0.34615384615384615,0.16421503301710497,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-38-17_color_kinect.png
1-95-15,potted_meat_can,48,z2|x2,858,1.7897013151074759,0.25795838,1.7897013151074759,0.25795838236808777,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-95-15_color_kinect.png
1-46-6,wood_block,58,z2|y2|x4,525,1.7896386253755632,0.13629279,1.7896386253755632,0.13629278540611267,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-46-6_color_kinect.png
2-90-11,bleach_cleanser,8,z2,1576,1.781566828822021,0.2561316,1.781566828822021,0.2561315894126892,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-90-11_color_kinect.png
2-38-17,wood_block,58,z2|y2|x4,362,1.7781283070496843,0.22646657,1.7781283070496843,0.226466566324234,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-38-17_color_kinect.png
2-22-1,d_toy_airplane,18,zinf,131,1.7745618997982564,0.088765696,1.7745618997982564,0.0887656956911087,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-22-1_color_kinect.png
2-26-15,wood_block,58,z2|y2|x4,465,1.7729524655733229,0.21771304,1.7729524655733229,0.21771304309368134,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-26-15_color_kinect.png
1-61-12,cracker_box,14,z2|x2,177,1.339748221186577,0.16447026,1.772272816129357,0.13524419564032863,-0.43252459494278006,0.029226059734579812,0.40789473684210525,0.16107115023246188,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-61-12_color_kinect.png
1-84-16,tomato_soup_can,56,zinf|x2,663,1.770623217496683,0.20812419,1.770623217496683,0.20812419056892395,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-84-16_color_kinect.png
2-72-13,pudding_box,51,z2|x2,188,3.0658904666082685,0.15931554,1.770061072062953,0.14129624412527625,1.2958293945453154,0.01801929726132806,0.4428969359331476,0.15699372093399377,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-72-13_color_kinect.png
2-6-11,sugar_box,55,z2|x2,341,2.2658732459166324,0.27760357,1.7699850783213416,0.13622899763325919,0.49588816759529086,0.14137456901331674,0.381651376146789,0.1721216170953318,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-11_color_kinect.png
2-90-11,sugar_box,55,z2|x2,325,1.2655894581421276,0.196103,1.7692417460992245,0.10298737427792799,-0.5036522879570968,0.09311563232340563,0.3963302752293578,0.1721580547498254,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-90-11_color_kinect.png
2-7-8,e_lego_duplo,20,z2,358,3.1113516683599114,0.21556737,1.7666753447838532,0.13278446255867568,1.3446763235760582,0.08278290273005875,0.31585365853658537,0.17663417020968322,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-7-8_color_kinect.png
2-70-5,jenga,35,z2|x2,673,1.765555323953682,0.23065771,1.765555323953682,0.23065771162509918,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-70-5_color_kinect.png
